published	title	item_count	url	description	playlist_id
2023-09-28	Songs for Hope 2023 - Kennedy Center	11	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ1LJ4aFfP8nO8WUNM3QZf	Surgeon General Awards Ceremony and concert 9/18/2023. Digital Program at https://www.kennedy-center.org/whats-on/arts-wellbeing/songs-for-hope/program	PLJ7S-K0cjvGKQ1LJ4aFfP8nO8WUNM3QZf
2023-09-29	Rhiannon Giddens + Adia Victoria LIVE @ Clarice Smith Performing Arts Center 9/27/23	13	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIc1ntqg0LoA3Nwitvt7bXA	Selected tracks from the side box, trying to be subtle, sorry for all the shiftiness  Rhiannon Giddens band Jason Sypher - bass Francesco Turrisi - various Dirk Powell - various  Niwel Tsumbu - guitar	PLJ7S-K0cjvGIc1ntqg0LoA3Nwitvt7bXA
2023-10-08	Wooten Brothers & Rebirth Brass Band LIVE @ Fillmore Silver Spring 10/5/23	5	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ1OZ7VePb6uyiVxN_qHmL3	Selections from above the stage behind the band	PLJ7S-K0cjvGJ1OZ7VePb6uyiVxN_qHmL3
2023-10-08	Kenny Wayne Shepherd LIVE @ Capital One Hall 10/06/23	7	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxppGZyUZqpFzipYNLus9t	selections from the 2nd row center balcony, some shake and sound issues. Full set list https://www.setlist.fm/setlist/kenny-wayne-shepherd/2023/capital-one-hall-tysons-corner-va-7ba326e8.html	PLJ7S-K0cjvGKxppGZyUZqpFzipYNLus9t
2023-10-28	Albert Cummings LIVE @ Jammin' Java 10/26/23	4	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIzU19hwvIT5Q2mCuVHurP_	Selected tracks from stage left seat 2.  Set List: https://www.setlist.fm/setlist/albert-cummings/2023/jammin-java-vienna-va-63a002db.html	PLJ7S-K0cjvGIzU19hwvIT5Q2mCuVHurP_
2023-10-28	Queen Latifah and friends LIVE @ Capital One Arena 10/22/23	7	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLBwSoqOc_FFDfCSQYpKfUq	Ok, yes. LL Cool J headlined. These are mostly from Queen Latifah's set though. From club level stage left.  Set list: https://www.setlist.fm/setlist/queen-latifah/2023/capital-one-arena-washington-dc	PLJ7S-K0cjvGLBwSoqOc_FFDfCSQYpKfUq
2023-10-28	Secret Sisters LIVE @ The Birchmere(VA) 10/22/23	7	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIK1oDr0TNnX6SP7p7uw01q	selected tracks from a front table. supported by Amy Stroup  Set List https://www.setlist.fm/setlist/the-secret-sisters/2023/the-birchmere-alexandria-va-5ba0c360.html	PLJ7S-K0cjvGIK1oDr0TNnX6SP7p7uw01q
2023-10-28	Līve LIVE @ Lincoln Theater (DC) 10/18/23	8	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIsX-lL-_Rf_C5goarTdqM5	Selected tracks from the balcony. Some cross traffic/focus.  Set list https://www.setlist.fm/setlist/lve/2023/lincoln-theatre-washington-dc-7ba0fe80.html	PLJ7S-K0cjvGIsX-lL-_Rf_C5goarTdqM5
2023-10-28	Daniel Donato's Cosmic Country LIVE @ Pearl Street Warehouse (DC) 10/13/23	6	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGILAv53HPzLkFWGn2I7eKIN	Selected tracks from the rail.  Set List: https://www.setlist.fm/setlist/daniel-donato/2023/pearl-street-warehouse-washington-dc-3a09d63.html  Full show: https://www.youtube.com/live/BfrxVbKskRc?si=j4	PLJ7S-K0cjvGILAv53HPzLkFWGn2I7eKIN
2023-10-28	Vanessa Collier LIVE @ Strathmore AMP 10/8/23	8	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQlkdygFKav6V1ZV8eBJtG	@VanessaCollier33 selected tracks from a front table. Next time I think I need to sit in front of Laura Chavez !!!   Set list https://www.setlist.fm/setlist/vanessa-collier/2023/amp-by-strathmore-nort	PLJ7S-K0cjvGKQlkdygFKav6V1ZV8eBJtG
