title	url
Experience Hendrix LIVE @ Warner Theatre (DC) 4/5/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIu1pcW5mvyNq0tY53dizvp
Cowboy Junkies LIVE @ Birchmere 4/9/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIIcC3tkXHchuYr7V_3pV5A
Valerie June LIVE @ Ram's Head (MD) 4/18/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL2WeBN9RzkhcyULTgAyY3Z
Danielle Nicole Band LIVE @ Pearl Street Warehouse (DC) 5/2/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ-YueR5L4sqdUpas1OW4C9
Allison Russell LIVE @ Lincoln Theatre (DC) 5/3/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLhMNgGJsjknOQBcRTzq_ia
Larkin Poe LIVE @ 9:30 Club (DC) 5/9/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKO3gwaxYzLBTciOMvP5Cyv
The Devil Makes Three LIVE @ 9:30 Club (DC) 5/11/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLgrKItidPLi5YuYso-4NLY
Ally Venable LIVE @ Rams Head (MD) 5/14/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK7YleAlUlbka340H4j2ZMn
Vanessa Collier - Can't Stand the Rain (bootlegs)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIHFoNHZ_Ei2gnPAyRUypeM
TajMo LIVE Taj Mahal and Keb Mo @ Wolf Trap 6/8/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGICE4_wkwYVFlTSv2AUyAJA
The Heavy Heavy LIVE @ Atlantis (DC) 5/13/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKE-rgw0yfTicqHg7FQpfTs
Hozier LIVE in Bristow, VA 9/16/2025 (night 1 of 2)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIL3wIXd8f_6SbTCQG7tixp
Jon Batiste LIVE @ The Anthem (DC)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIfDv8WQkTrJMl5dMebJVHU
Lone Bellow LIVE @ Union Stage (DC) 11/15/2025	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOmu4ETmoyci5Dn-FNfBNG
Sparkbird LIVE headlining show @ Richmond Music Hall (VA) 11/17/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJXlHQOOX3YMrd51HE0zslb
Keb' Mo' LIVE solo - Maryland Hall, Annapolis 11/21/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIJeMAfrYxV5O1pJ_KudwHk
Vanessa Collier LIVE - Valentine's 2026 at Rams Head, Annapolis	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ2CFf3oqeisdJqbfkRiEn
Danielle Nicole Band LIVE @ Hamilton Live (DC) 03/20/26	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL
Taj Farrant LIVE @ Rams Head 3/16/26 - 16 years old!	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITbEz4XzY8rKKsccjbhrNs
The War and Treaty LIVE @ Howard Theatre (DC) 4/11/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJ0oxlwovpXG26gHAMR0ViG
Suzanne Vega LIVE @ Lincoln Theatre (DC) 6/10/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK5nb1sCthFnLvqdYbJI_tD
Jax Hollow LIVE @ Ram's Head (MD) 7/17/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJqpoD9UT_BtMYghkC91Vqr
D.K. Harrell LIVE @ Jammin' Java (VA) 8/19/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLG-WCQPCyCMvPy5mhfmOym
Christone "Kingfish" Ingram LIVE @ Baltimore Soundstage 9/24/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIRp58p0ZK_whWMsFRNnYmN
Alabama Shakes LIVE @ The Anthem (DC) 9/19/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKuIHQkITzIRpAiSxah3hpx
North Mississippi Allstars LIVE @ Wolf Trap Barns (VA) 11/8/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKXGlxcjXwWHadud4tZUOYn
Ruthie Foster LIVE @ Hamilton Live (DC) 10/26/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLZWb0lcUzPfC917AfzTCz0
Jackie Venson LIVE @ Hamilton Live (DC) 10/15/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYTwXZMX8huYuTgbPF-_Qh
Tommy Emmanuel LIVE @ Lincoln Theatre (DC) 10/21/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOAzoPhVXBV1lHGD1YliMK
Enter the Haggis LIVE @ City Winery (DC) 10/27/22	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLVO3CKo8c2CfC9_J3M56HR
Judith Hill LIVE @ Hamilton Live (DC) 10/8/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrGkEQ-gvOHmWxeHex9CPa
Amythyst Kiah LIVE @ Jammin' Java (VA) 7/21/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKDVTswOCN1kpjAQVsBh-fm
Eric Gales LIVE @ Ram's Head (MD) 6/19/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLRzshmoohvw5SyewPMRBcf
