title	url
Trombone Shorty LIVE @ Wolf Trap 6/15/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLRcJ_b6KjSHQoN2MXgWR6m
PIXIES + Modest Mouse + Cat Power LIVE @ Merriweather Post (MD) 6/14/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIa_flRON67W-_MVRCRtOeI
Buffalo Nichols LIVE @ Jammin' Java (VA) 06/21/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJwOsdmmjRcGoEYN1sV3c5A
Mikaela Davis LIVE @ Pearl Street Warehouse 06/25/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLqwgMrIFdIeFpLjgkwVFdj
Kingfish Ingram LIVE @ Fillmore Siliver Spring (MD) 06/27/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLSwIQC01VwRxLlxqUnZBWz
Alannis Morissette and Joan Jett LIVE @ Merriweather Post (MD) 06/29/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIL7RFtTk_mv4CdOcgXfcXK
Los Lobos LIVE @ Birchmere 7/10/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLGGkKEPx2ZMpqb7clYETJ4
Pretenders LIVE @ Warner Theatre (DC) 07/20/2024	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLhKMKlX67yv-vqCePMfK67
Tab Benoit & Anders Osborne with Mike Zito LIVE @ Birchmere 7/18/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLQ0rQ4vl_o2MwmwbkY9ZGS
Slash S.E.R.P.E.N.T. Festival LIVE Cary, NC 8/7/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITFWPmAMpvg29Ddt0eOJ8Z
Sue Foley LIVE @ Hamilton Live (DC) 8/23/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKGNIaZgK0JUXFghD2lOzV-
Walter Trout LIVE @ Ram's Head (MD) 9/4/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKfeAkck2WbpOlrNgDuG5dY
Kingsley Flood LIVE @ Pearl Street Warehouse (DC) 9/7/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJJApKUiWmOTWChNiQRkZtc
Vanessa Collier LIVE @ Rams Head (MD) 9/8/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL_urhBlAaFymtZnIz9emb6
Shawn James LIVE @ The Black Cat (DC) 9/12/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJyGnk6gREOypsrCxohHV0c
Selwyn Birchwood LIVE @ the Vault at Capital One Hall 9/18/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL3rMKdh0de7S68Z2dP2YBu
Maryland Renaissance Festival Celtic Weekend 2024	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJcQZO5RFCP06Me6E6aE40G
Marcus King LIVE @ Warner Theatre 9/19/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKYcbx20Js2RW2kdrs_db59
Suzanne Vega LIVE @ Birchmere 9/25/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIgNjgQlo9xO44zF9N26kpc
Soul Coughing @ 9:30 Club (DC) 9/28/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKJath7-jUYRE2EuuNFRgU7
The Lone Bellow LIVE @ The Birchmere (10/4/24)	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJBpcSRwOfciHwhbssMAyAR
Valerie June LIVE @ Publick Playhouse (MD) 10/5/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKDkeWVTzCEMe0xJv0cd9SQ
Vanessa Collier LIVE @ Hamilton Live (DC) 10/9/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLUOdXZexCDUO1vE67aFAbK
Jake Xerxes Fussell LIVE @ Songbyrd Music House (DC) 10/13/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLB0r3UiSx-6PQ6_skRE4dB
Ana Popović LIVE @ Hamilton Live (DC) 10/16/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL-lA1pN6EM6mo0nvqm4YCL
Shemekia Copeland LIVE @ Rams Head On Stage (MD) 10/19/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL7HsVrGhfW41b3M5hPjRzX
Albert Cummings LIVE @ Collective Encore (MD) 11/8/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKBKQzNYJqGCYaL5V4TJ9C9
Wood Brothers LIVE @ Strathmore Music Hall 11/16/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGICF3dJDFJ04zWRyk6Bq65X
Ruf Records 30th Anniversary Tour LIVE @ Warner Theatre 11/20/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKgmK7pARDcQrZ9p3FoNcCe
Albert Castiglia Live @ JV's Restaurant - end of tour 12/22/24	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKBkLw_-ONXYf3x1LQ8XEPY
Young Dubliners LIVE @ Pearl Street Wearhouse 1/10/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJvW76f6a0oz1P_p7lysy58
Langhorne Slim & Oliver Wood LIVE @ Birchmere 1/22/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLnz-M5qfqM8y207uAcVXgf
Galactic featuring Jelly Joseph LIVE @ 9:30 Club 1/30/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKFLy1E2wNp21OLCSmgS9va
Sue Foley LIVE @ Hamilton Live 2/6/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL99d7kOWzlN98aXDM-qtL4
Enter the Haggis LIVE Farewell Tour @ Barns at Wolf Trap 2/26/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLMV7me9Pw-EeHdgp_Q4X_y
Mike Zito LIVE @ Hub City VInyl (MD) 2/27/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI30jX_mObnhmgkIBa2VQ7k
Daniel Donato's Cosmic Country LIVE @ Hamilton Live (DC) 3/13/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-YlhWCarU9ScFcHae5qtp
ZZ Ward LIVE @ Birchmere 3/19/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLurgbIEooTWJbZCnMawdtX
Southern Avenue LIVE @ Ram's Head (MD) 3/21/25	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL4moyHGhpCCs5cK8PhrXt3
